date,position,track_name,artists_name,album_name,album_release_date,track_link,artists_link,album_link,duration_ms,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_id,album_id
2002-06-03,1,Cry,Mandy Moore,A Walk To Remember Music From The Motion Picture,2002-01-15,https://open.spotify.com/track/1L3HwcCbgJ6lJEX11uibIJ,https://open.spotify.com/artist/2LJxr7Pt3JnP60eLxwbDOu,https://open.spotify.com/album/0hdH7DpYGnTWmwV2UhYbKa,223066,48,False,0.584,0.67,0,-6.564,1,0.0308,0.0408,2.86e-06,0.434,0.543,86.691,4,1L3HwcCbgJ6lJEX11uibIJ,0hdH7DpYGnTWmwV2UhYbKa
2002-06-03,2,If You Come Back,Blue,All Rise,2001-11-26,https://open.spotify.com/track/6nV2SYnWxCg0Cnmz1GSh2H,https://open.spotify.com/artist/2yEkZBBjhzKzt6LF5XMaFi,https://open.spotify.com/album/4Kx60DeMOwNNnvQRbZMuHg,207560,56,False,0.582,0.707,10,-4.487,1,0.0319,0.0822,0,0.0467,0.701,78.375,4,6nV2SYnWxCg0Cnmz1GSh2H,4Kx60DeMOwNNnvQRbZMuHg
2002-06-03,3,Bop Bop Baby,Westlife,World of Our Own (Expanded Edition),2001-11-12,https://open.spotify.com/track/7dHldWPBFycgIl14iuItAi,https://open.spotify.com/artist/5Z1CCuBsyhEHngq3U5IraY,https://open.spotify.com/album/5FECTGZ9UdITzeo7o0AhUZ,261893,48,False,0.679,0.89,2,-4.483,1,0.0301,0.0141,0,0.139,0.656,118.018,4,7dHldWPBFycgIl14iuItAi,5FECTGZ9UdITzeo7o0AhUZ
2002-06-03,4,Foolish,Ashanti,Ashanti,2002-01-01,https://open.spotify.com/track/6zMUIb4uce1CzpbjR3vMdN,https://open.spotify.com/artist/5rkVyNGXEgeUqKkB5ccK83,https://open.spotify.com/album/5M3BrdaT0TV5SsYsM5PM8X,227386,70,True,0.665,0.695,0,-5.763,1,0.0532,0.347,0,0.106,0.707,90.119,4,6zMUIb4uce1CzpbjR3vMdN,5M3BrdaT0TV5SsYsM5PM8X
2002-06-03,5,Make It Good,A1,Make It Good,2001,https://open.spotify.com/track/47Dfc834zYYl6MaTwTCDk6,https://open.spotify.com/artist/5lPsVvHVDr6R5mDxRUXdOs,https://open.spotify.com/album/7aMMpyDflUCZzDFp6LNul0,217840,31,False,0.478,0.934,7,-3.833,1,0.0477,0.0173,0,0.166,0.344,97.532,4,47Dfc834zYYl6MaTwTCDk6,7aMMpyDflUCZzDFp6LNul0
2002-06-03,6,My December,Linkin Park,Hybrid Theory (Bonus Edition),2000-10-24,https://open.spotify.com/track/0fxGA5lxrdYNYoE7yJxTNZ,https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz,https://open.spotify.com/album/6hPkbAV3ZXpGZBGUvL6jVM,260560,56,False,0.73,0.585,0,-9.274,1,0.0238,0.375,0.0101,0.147,0.721,100.021,4,0fxGA5lxrdYNYoE7yJxTNZ,6hPkbAV3ZXpGZBGUvL6jVM
2002-06-03,7,"I'm Not a Girl, Not Yet a Woman",Britney Spears,Britney (Digital Deluxe Version),2001-10-31,https://open.spotify.com/track/1xg1yGPy1Y3YUf44s6TB1o,https://open.spotify.com/artist/26dSoYclwsYLMAKD3tpOr4,https://open.spotify.com/album/5ax3GTsfX5uCUaNgnJsSG5,231066,56,False,0.534,0.543,3,-6.857,1,0.0245,0.579,0,0.112,0.418,78.996,4,1xg1yGPy1Y3YUf44s6TB1o,5ax3GTsfX5uCUaNgnJsSG5
2002-06-03,8,World of Our Own,Westlife,World of Our Own (Expanded Edition),2001-11-12,https://open.spotify.com/track/4SAHTVRe6EBhgAOWl49yPf,https://open.spotify.com/artist/5Z1CCuBsyhEHngq3U5IraY,https://open.spotify.com/album/5FECTGZ9UdITzeo7o0AhUZ,211413,61,False,0.707,0.765,1,-4.636,1,0.0341,0.0163,0,0.0627,0.923,97.005,4,4SAHTVRe6EBhgAOWl49yPf,5FECTGZ9UdITzeo7o0AhUZ
2002-06-03,9,I'm All About You,Aaron Carter,Oh Aaron,2001-08-07,https://open.spotify.com/track/4osyhAKfnSADr7f4kOLS86,https://open.spotify.com/artist/5338fdSzGNOFD4cxAxDTeq,https://open.spotify.com/album/6RBal3R25BlKtJGfd70kyc,221360,50,False,0.671,0.646,0,-7.544,1,0.0267,0.0629,0,0.0862,0.374,91.984,4,4osyhAKfnSADr7f4kOLS86,6RBal3R25BlKtJGfd70kyc
2002-06-03,10,Brown Eyes,Destiny's Child,Survivor,2001-05-01,https://open.spotify.com/track/1urmwhtXPiakhcqvqUi3rp,https://open.spotify.com/artist/1Y8cdNmUJH7yBTd9yOvr5i,https://open.spotify.com/album/480AZOo2VQ1kf3GedAiKV9,276093,58,False,0.566,0.573,5,-7.21,1,0.0436,0.25,0,0.0723,0.313,116.067,4,1urmwhtXPiakhcqvqUi3rp,480AZOo2VQ1kf3GedAiKV9
